iter	Passed	Remaining
510	6921	6623
511	6933	6608
512	6947	6595
513	6960	6581
514	6972	6566
515	6986	6553
516	7031	6568
517	7042	6552
518	7052	6536
519	7063	6519
520	7075	6505
521	7088	6491
522	7101	6476
523	7113	6462
524	7125	6447
525	7139	6433
526	7148	6415
527	7155	6396
528	7163	6377
529	7171	6359
530	7178	6340
531	7187	6322
532	7194	6303
533	7199	6282
534	7205	6262
535	7213	6244
536	7221	6226
537	7240	6217
538	7254	6204
539	7265	6188
540	7279	6176
541	7288	6158
542	7297	6141
543	7305	6123
544	7313	6105
545	7321	6087
546	7328	6069
547	7336	6051
548	7343	6033
549	7352	6015
550	7360	5998
551	7368	5980
552	7375	5961
553	7381	5942
554	7390	5926
555	7398	5908
556	7405	5889
557	7413	5872
558	7421	5854
559	7428	5836
560	7445	5826
561	7459	5813
562	7482	5808
563	7492	5791
564	7500	5774
565	7507	5756
566	7515	5739
567	7523	5721
568	7530	5704
569	7537	5686
570	7545	5668
571	7555	5653
572	7565	5637
573	7573	5621
574	7581	5603
575	7590	5587
576	7598	5570
577	7605	5553
578	7615	5537
579	7622	5519
580	7630	5502
581	7639	5486
582	7660	5479
583	7678	5469
584	7692	5457
585	7704	5442
586	7715	5428
587	7726	5413
588	7737	5399
589	7755	5389
590	7767	5375
591	7781	5362
592	7794	5349
593	7805	5335
594	7817	5320
595	7828	5306
596	7856	5303
597	7869	5290
598	7878	5274
599	7892	5261
600	7903	5247
601	7917	5234
602	7928	5220
603	7940	5205
604	7953	5192
605	7968	5180
606	7979	5166
607	7991	5152
608	8003	5138
609	8015	5124
610	8026	5110
611	8035	5094
612	8047	5080
613	8095	5089
614	8110	5077
615	8122	5063
616	8133	5048
617	8167	5048
618	8198	5046
619	8208	5030
620	8216	5014
621	8227	4999
622	8237	4984
623	8247	4969
624	8257	4954
625	8266	4938
626	8277	4924
627	8285	4907
628	8296	4893
629	8314	4882
630	8332	4872
631	8344	4859
632	8358	4845
633	8364	4828
634	8374	4813
635	8382	4797
636	8405	4789
637	8430	4783
638	8464	4781
639	8488	4774
640	8524	4774
641	8539	4761
642	8549	4746
643	8557	4730
644	8567	4715
645	8575	4699
646	8584	4683
647	8591	4666
648	8599	4650
649	8607	4634
650	8614	4618
651	8622	4602
652	8631	4586
653	8638	4570
654	8644	4553
655	8651	4536
656	8658	4520
657	8666	4504
658	8674	4488
659	8682	4472
660	8698	4461
661	8712	4448
662	8776	4461
663	8794	4450
664	8814	4440
665	8830	4428
666	8839	4413
667	8846	4396
668	8854	4380
669	8860	4364
670	8868	4348
671	8878	4333
672	8889	4319
673	8900	4304
674	8912	4291
675	8937	4283
676	8951	4270
677	8958	4254
678	8985	4247
679	9021	4245
680	9037	4233
681	9049	4219
682	9057	4203
683	9066	4188
684	9073	4172
685	9079	4156
686	9087	4140
687	9095	4124
688	9104	4109
689	9112	4093
690	9119	4078
691	9125	4061
692	9131	4045
693	9139	4029
694	9148	4014
695	9155	3998
696	9164	3983
697	9169	3967
698	9176	3951
699	9201	3943
700	9224	3934
701	9239	3922
702	9251	3908
703	9259	3893
704	9270	3879
705	9282	3865
706	9289	3849
707	9301	3836
708	9309	3820
709	9318	3806
710	9329	3792
711	9339	3777
712	9349	3763
713	9360	3749
714	9369	3734
715	9394	3726
716	9412	3715
717	9449	3711
718	9464	3698
719	9489	3690
720	9502	3677
721	9517	3664
722	9528	3650
723	9539	3636
724	9547	3621
725	9554	3606
726	9562	3590
727	9591	3583
728	9609	3572
729	9623	3559
730	9633	3545
731	9641	3530
732	9649	3514
733	9657	3499
734	9664	3484
735	9673	3469
736	9681	3454
737	9691	3440
738	9700	3425
739	9713	3412
740	9721	3398
741	9728	3382
742	9736	3367
743	9743	3352
744	9748	3336
745	9755	3321
746	9762	3306
747	9769	3291
748	9779	3277
749	9797	3265
750	9823	3257
751	9831	3242
752	9842	3228
753	9850	3213
754	9859	3199
755	9867	3184
756	9880	3171
757	9888	3156
758	9897	3142
759	9908	3129
760	9916	3114
761	9924	3099
762	9931	3084
763	9939	3070
764	9947	3055
765	9953	3040
766	9969	3028
767	9982	3015
768	9998	3003
769	10018	2992
770	10029	2978
771	10040	2965
772	10055	2952
773	10062	2938
774	10069	2923
775	10077	2909
776	10086	2894
777	10092	2879
778	10099	2865
779	10107	2850
780	10117	2836
781	10124	2822
782	10132	2808
783	10138	2793
784	10147	2779
785	10156	2765
786	10163	2750
787	10171	2736
788	10179	2722
789	10184	2707
790	10204	2696
791	10226	2685
792	10248	2675
793	10268	2664
794	10276	2649
795	10288	2636
796	10301	2623
797	10309	2609
798	10316	2595
799	10322	2580
800	10330	2566
801	10339	2552
802	10348	2538
803	10355	2524
804	10363	2510
805	10371	2496
806	10378	2482
807	10386	2468
808	10394	2454
809	10429	2446
810	10443	2433
811	10451	2419
812	10459	2405
813	10468	2391
814	10474	2377
815	10482	2363
816	10493	2350
817	10498	2335
818	10505	2321
819	10513	2307
820	10522	2294
821	10530	2280
822	10538	2266
823	10547	2252
824	10555	2238
825	10563	2225
826	10570	2211
827	10578	2197
828	10613	2189
829	10635	2178
830	10644	2164
831	10651	2150
832	10660	2137
833	10668	2123
834	10676	2109
835	10685	2096
836	10692	2082
837	10700	2068
838	10707	2054
839	10715	2041
840	10724	2027
841	10731	2013
842	10739	2000
843	10914	2017
844	11626	2132
845	11642	2119
846	11653	2105
847	11665	2090
848	11719	2084
849	12126	2139
850	12165	2129
851	12204	2120
852	12228	2107
853	12255	2095
854	12282	2082
855	12313	2071
856	12424	2073
857	12829	2123
858	12855	2110
859	13024	2120
860	13049	2106
861	13069	2092
862	13087	2077
863	13116	2064
864	13157	2053
865	13195	2041
866	13257	2033
867	13279	2019
868	13687	2063
869	13701	2047
870	13830	2048
871	13922	2043
872	13938	2027
873	13958	2012
874	13974	1996
875	13987	1979
876	14006	1964
877	14020	1948
878	14038	1932
879	14050	1915
880	14062	1899
881	14071	1882
882	14086	1866
883	14363	1884
884	14633	1901
885	14904	1917
886	14928	1901
887	14933	1883
888	14946	1866
889	14957	1848
890	14968	1831
891	14981	1813
892	14996	1796
893	15010	1779
894	15025	1762
895	15035	1745
896	15045	1727
897	15054	1710
898	15062	1692
899	15087	1676
900	15151	1664
901	15161	1647
902	15170	1629
903	15182	1612
904	15189	1594
905	15198	1576
906	15208	1559
907	15218	1541
908	15226	1524
909	15236	1506
910	15246	1489
911	15260	1472
912	15271	1455
913	15279	1437
914	15288	1420
915	15295	1402
916	15303	1385
917	15311	1367
918	15316	1350
919	15323	1332
920	15331	1315
921	15341	1297
922	15352	1280
923	15362	1263
924	15372	1246
925	15381	1229
926	15388	1211
927	15397	1194
928	15404	1177
929	15412	1160
930	15419	1142
931	15430	1125
932	15471	1111
933	15483	1094
934	15497	1077
935	15510	1060
936	15542	1044
937	15555	1028
938	15567	1011
939	15573	994
940	15579	976
941	15591	959
942	15605	943
943	15616	926
944	15624	909
945	15630	892
946	15638	875
947	15651	858
948	15662	841
949	15670	824
950	15685	808
951	15702	791
952	15710	774
953	15718	757
954	15730	741
955	15740	724
956	15749	707
957	15759	690
958	15766	674
959	15776	657
960	15785	640
961	15791	623
962	15803	607
963	15813	590
964	15825	573
965	15837	557
966	15846	540
967	15855	524
968	15865	507
969	15874	490
970	15888	474
971	15900	458
972	15910	441
973	15919	424
974	15928	408
975	15938	391
976	15948	375
977	15955	358
978	15963	342
979	15973	325
980	15980	309
981	15986	293
982	15994	276
983	16004	260
984	16012	243
985	16021	227
986	16029	211
987	16038	194
988	16044	178
989	16055	162
990	16063	145
991	16071	129
992	16079	113
993	16087	97
994	16092	80
995	16098	64
996	16107	48
997	16116	32
998	16124	16
999	16135	0
