iter	RMSE
153	2.075025476
154	2.074396264
155	2.074308911
156	2.074268853
157	2.073556195
158	2.072890469
159	2.072857176
160	2.07282584
161	2.069669952
162	2.069041345
163	2.069015094
164	2.068990386
165	2.068670724
166	2.068648131
167	2.06858908
168	2.068084052
169	2.068054232
170	2.068036229
171	2.068019888
172	2.067981254
173	2.067653912
174	2.06764019
175	2.067627276
176	2.067507833
177	2.067455965
178	2.065575915
179	2.06556214
180	2.065552735
181	2.065543884
182	2.065535554
183	2.065418216
184	2.065080012
185	2.064474563
186	2.064315411
187	2.06217609
188	2.059648022
189	2.059209507
190	2.058652683
191	2.056745014
192	2.056711609
193	2.054691516
194	2.054245719
195	2.05424181
196	2.054176656
197	2.05338204
198	2.053378822
199	2.053273719
200	2.053270876
201	2.052768832
202	2.052766316
203	2.052763249
204	2.052384127
205	2.052378584
206	2.052367978
207	2.052340347
208	2.052319998
209	2.052318342
210	2.052313564
211	2.052206583
212	2.051948958
213	2.051271887
214	2.050398724
215	2.050387475
216	2.050367902
217	2.050333589
218	2.050204962
219	2.049691054
220	2.048897004
221	2.04634858
222	2.045891596
223	2.045739738
224	2.044052223
225	2.043940335
226	2.043493095
227	2.043491986
228	2.039230704
229	2.036605179
230	2.036604517
231	2.036584451
232	2.036300165
233	2.036253438
234	2.036252914
235	2.036018962
236	2.03439579
237	2.03400544
238	2.030882098
239	2.030448416
240	2.03029007
241	2.027640732
242	2.027269676
243	2.027269274
244	2.027177935
245	2.027035165
246	2.025292509
247	2.024725307
248	2.024575749
249	2.024283135
250	2.024281333
251	2.02379419
252	2.023793903
253	2.021735352
254	2.020650643
255	2.020444563
256	2.019925963
257	2.019882678
258	2.019792627
259	2.01945063
260	2.01935069
261	2.019230234
262	2.019087471
263	2.017614771
264	2.017546303
265	2.017540754
266	2.015995855
267	2.015386193
268	2.015386011
269	2.013786164
270	2.0130647
271	2.012690223
272	2.012101913
273	2.011851597
274	2.009470691
275	2.008851703
276	2.007489016
277	2.007134693
278	2.006265298
279	2.005860725
280	2.005545258
281	2.00295346
282	2.002835019
283	2.001580611
284	2.000433148
285	1.99828049
286	1.998011511
287	1.996346131
288	1.995637209
289	1.993299759
290	1.993135792
291	1.992424408
292	1.992201609
293	1.991166923
294	1.990229547
295	1.989887524
296	1.988848864
297	1.988848814
298	1.988654184
299	1.988360488
300	1.98614372
301	1.986061294
302	1.985723945
303	1.984976839
304	1.984093833
305	1.983964785
306	1.983852413
307	1.983585435
308	1.983212106
309	1.982214852
310	1.98091598
311	1.980222207
312	1.97969039
313	1.979184332
314	1.978116134
315	1.977914215
316	1.976815114
317	1.975902008
318	1.973667918
319	1.973296727
320	1.973065063
321	1.972973022
322	1.972354169
323	1.972258758
324	1.971501298
325	1.969170271
326	1.967946907
327	1.966836261
328	1.966364163
329	1.965322554
330	1.964547625
331	1.963811572
332	1.963717275
333	1.963568232
334	1.963161869
335	1.962050567
336	1.961836397
337	1.961651194
338	1.961302453
339	1.961026201
340	1.960666794
341	1.960477318
342	1.960197112
343	1.959215812
344	1.957334062
345	1.95636728
346	1.95515664
347	1.9525536
348	1.952065794
349	1.951291651
350	1.94937113
351	1.949100046
352	1.948977399
353	1.948416015
354	1.945548562
355	1.945335151
356	1.945194457
357	1.945099574
358	1.943372151
359	1.942522038
360	1.942390971
361	1.941483538
362	1.941211402
363	1.938980699
364	1.938792227
365	1.938482359
366	1.937595949
367	1.937466523
368	1.93728768
369	1.937130701
370	1.936862359
371	1.936167494
372	1.9356832
373	1.934754396
374	1.933908755
375	1.93384154
376	1.933712816
377	1.932577503
378	1.932250897
379	1.93207152
380	1.931797589
381	1.930455852
382	1.93037665
383	1.930084827
384	1.929708089
385	1.929469487
386	1.928887129
387	1.927729472
388	1.927361706
389	1.9265566
390	1.926490014
391	1.926107356
392	1.926001553
393	1.925461408
394	1.923802981
395	1.923651076
396	1.923427174
397	1.922573666
398	1.921813915
399	1.920992143
400	1.920220323
401	1.920032157
402	1.919964004
403	1.91931751
404	1.91898525
405	1.918842308
406	1.918118703
407	1.918107807
408	1.917891069
409	1.916816967
410	1.91440249
411	1.914311077
412	1.914279283
413	1.914032846
414	1.913797207
415	1.913692757
416	1.913491578
417	1.913318845
418	1.912712991
419	1.911737506
420	1.91074515
421	1.910473947
422	1.910161327
423	1.910044176
424	1.90989376
425	1.909813902
426	1.909592204
427	1.908751051
428	1.908395055
429	1.907245605
430	1.907134209
431	1.905204892
432	1.905148459
433	1.90511499
434	1.905038019
435	1.904993934
436	1.904923368
437	1.904279803
438	1.902742783
439	1.902505476
440	1.901688289
441	1.900927118
442	1.900501176
443	1.899880948
444	1.899596885
445	1.899571165
446	1.898975039
447	1.897564842
448	1.897299626
449	1.895810006
450	1.895642176
451	1.895498084
452	1.89425821
453	1.894204953
454	1.893985484
455	1.893583576
456	1.893570895
457	1.892440608
458	1.892312608
459	1.892169532
460	1.891752601
461	1.88969825
462	1.88882401
463	1.888792066
464	1.888620916
465	1.888583198
466	1.88843621
467	1.888412793
468	1.888224022
469	1.888205484
470	1.888004769
471	1.887720585
472	1.887540275
473	1.887456364
474	1.887405364
475	1.88732147
476	1.886991205
477	1.886592001
478	1.886550903
479	1.886458667
480	1.885799372
481	1.885552498
482	1.885472411
483	1.885181643
484	1.885050719
485	1.88499711
486	1.884653343
487	1.883411625
488	1.881939107
489	1.881923678
490	1.881099511
491	1.880982739
492	1.880668028
493	1.880014352
494	1.87927459
495	1.879027269
496	1.878980615
497	1.877807042
498	1.877422469
499	1.877302512
500	1.87724548
501	1.877191255
502	1.876740619
503	1.876627843
504	1.876440042
505	1.876348433
506	1.875946773
507	1.875743906
508	1.875487096
509	1.875242182
510	1.874979755
511	1.874885689
512	1.874669448
513	1.874524319
514	1.873837385
515	1.873731044
516	1.873140349
517	1.872750373
518	1.872576717
519	1.872285134
520	1.872272939
521	1.871784756
522	1.871772631
523	1.871585197
524	1.87146355
525	1.871286266
526	1.870921389
527	1.869992946
528	1.869830654
529	1.869617317
530	1.86938751
531	1.869264347
532	1.868953241
533	1.868832975
534	1.868037181
535	1.867401812
536	1.867087467
537	1.866916188
538	1.866819554
539	1.866800891
540	1.866538334
541	1.865523148
542	1.864932279
543	1.864800914
544	1.864594074
545	1.864397282
546	1.864126533
547	1.863813482
548	1.862361965
549	1.862005175
550	1.861511946
551	1.861428092
552	1.861320306
553	1.861220297
554	1.860785941
555	1.860684483
556	1.860423681
557	1.860376829
558	1.860235274
559	1.860084849
560	1.859994648
561	1.859379385
562	1.85877308
563	1.85851879
564	1.857252665
565	1.857122193
566	1.856572523
567	1.856230705
568	1.856112353
569	1.855061794
570	1.854127189
571	1.853059923
572	1.852947108
573	1.852622973
574	1.850010148
575	1.849895244
576	1.84978233
577	1.849660008
578	1.849569667
579	1.849121396
580	1.84878549
581	1.848732545
582	1.84867332
583	1.84756674
584	1.846696939
585	1.846589465
586	1.846267805
587	1.845629435
588	1.845397301
589	1.844828719
590	1.844002956
591	1.843324909
592	1.843229624
593	1.843229592
594	1.842940768
595	1.84252339
596	1.842338664
597	1.842254633
598	1.841879848
599	1.841838429
600	1.841288647
601	1.840921919
602	1.840764041
603	1.839171983
604	1.838247097
605	1.837782695
606	1.837559991
607	1.836740374
608	1.83566265
609	1.835013314
610	1.834882578
611	1.834843767
612	1.834843757
613	1.833345075
614	1.833174274
615	1.833103904
616	1.833014315
617	1.832598649
618	1.832513839
619	1.832498394
620	1.832424691
621	1.831578134
622	1.831553586
623	1.831454157
624	1.831374533
625	1.831260164
626	1.831247278
627	1.831247273
628	1.831002285
629	1.831002281
630	1.830667359
631	1.830335648
632	1.830335645
633	1.830270086
634	1.830270083
635	1.829365936
636	1.829304464
637	1.829304462
638	1.829110844
639	1.828889382
640	1.828824988
641	1.828688094
642	1.828558107
643	1.828462251
644	1.827308695
645	1.826607459
646	1.826165449
647	1.826165448
648	1.826104267
649	1.825968325
650	1.825741222
651	1.825697144
652	1.825350072
653	1.824146905
654	1.824114003
655	1.823822626
656	1.823713299
657	1.822493437
658	1.821993213
659	1.82191893
660	1.821777863
661	1.821614516
662	1.821501248
663	1.821128701
664	1.821086565
665	1.82016213
666	1.81993251
667	1.819907474
668	1.819405701
669	1.81939841
670	1.817946064
671	1.817763029
672	1.817262663
673	1.817186728
674	1.816931011
675	1.816931007
676	1.816931003
677	1.816768189
678	1.816679123
679	1.816133516
680	1.816079234
681	1.816055246
682	1.815972183
683	1.815918924
684	1.815404892
685	1.815172505
686	1.81511506
687	1.81511506
688	1.814992821
689	1.814076618
690	1.814054525
691	1.813366451
692	1.813356708
693	1.812320522
694	1.811729294
695	1.811659828
696	1.810483018
697	1.810483018
698	1.809595525
699	1.809595525
700	1.809391702
701	1.809146206
702	1.809002057
703	1.808217924
704	1.808145403
705	1.808053378
706	1.808002454
707	1.807926989
708	1.807796263
709	1.806823501
710	1.80614023
711	1.806124948
712	1.804418795
713	1.803481755
714	1.803391037
715	1.803324854
716	1.803126601
717	1.802176774
718	1.80195509
719	1.801847891
720	1.801812222
721	1.80179367
722	1.801696945
723	1.801675788
724	1.801575482
725	1.801524752
726	1.801433293
727	1.801433292
728	1.801410382
729	1.800437663
730	1.800410111
731	1.800410111
732	1.800284741
733	1.799921846
734	1.799839539
735	1.799426878
736	1.799342965
737	1.799342964
738	1.798784081
739	1.798549673
740	1.797639204
741	1.79760059
742	1.797124913
743	1.79684305
744	1.796771691
745	1.795831344
746	1.795337357
747	1.794793514
748	1.794717506
749	1.794216268
750	1.794208149
751	1.793877726
752	1.792360551
753	1.792316261
754	1.79183049
755	1.791605539
756	1.791545651
757	1.791255324
758	1.790937183
759	1.790501259
760	1.790319007
761	1.790285249
762	1.789876138
763	1.789821933
764	1.789525917
765	1.789367517
766	1.789331474
767	1.788293471
768	1.787569323
769	1.786383808
770	1.785851363
771	1.785721567
772	1.785704937
773	1.785663061
774	1.785572948
775	1.785426849
776	1.785181404
777	1.785169766
778	1.785123484
779	1.785073074
780	1.785019105
781	1.784862485
782	1.784847609
783	1.784834201
784	1.784689403
785	1.783738511
786	1.783692383
787	1.782788846
788	1.782266936
789	1.782113357
790	1.781636995
791	1.780690314
792	1.780642215
793	1.780504979
794	1.780193092
795	1.779550677
796	1.77838243
797	1.778056471
798	1.777124499
799	1.777092079
800	1.776418233
801	1.776400645
802	1.776355437
803	1.776314138
804	1.776150355
805	1.776044773
806	1.774798603
807	1.774668448
808	1.774521361
809	1.774372745
810	1.774362461
811	1.774295843
812	1.774278756
813	1.774263874
814	1.774179862
815	1.773516312
816	1.773391715
817	1.77338566
818	1.772583089
819	1.7724758
820	1.772294272
821	1.772249292
822	1.77182163
823	1.771806821
824	1.771761248
825	1.771660295
826	1.771652284
827	1.771334702
828	1.771200434
829	1.770858895
830	1.770830495
831	1.770250895
832	1.769443993
833	1.769356497
834	1.769263268
835	1.769252973
836	1.76837927
837	1.768233611
838	1.768038671
839	1.768026814
840	1.767967725
841	1.767877645
842	1.767834881
843	1.767532988
844	1.767369104
845	1.767273175
846	1.767007539
847	1.766960926
848	1.766466266
849	1.766374411
850	1.766365174
851	1.766329888
852	1.766306404
853	1.766263756
854	1.766218659
855	1.766131029
856	1.765864122
857	1.765761219
858	1.765728444
859	1.765531335
860	1.765481601
861	1.76519079
862	1.765158569
863	1.76472613
864	1.764695134
865	1.762792853
866	1.762476144
867	1.762113412
868	1.762047621
869	1.761530319
870	1.761468311
871	1.76143672
872	1.761066816
873	1.760413771
874	1.760373017
875	1.760360535
876	1.76034749
877	1.760254845
878	1.7602338
879	1.759651262
880	1.759620751
881	1.759483094
882	1.759081031
883	1.758583368
884	1.758472625
885	1.758432981
886	1.75815126
887	1.758098583
888	1.75785468
889	1.757841545
890	1.757825192
891	1.7577935
892	1.757780717
893	1.757553513
894	1.756364818
895	1.75636111
896	1.756340876
897	1.755288125
898	1.755134021
899	1.75510815
900	1.755095497
901	1.75491177
902	1.754668786
903	1.754668786
904	1.753222573
905	1.753152554
906	1.752990158
907	1.75295802
908	1.752945156
909	1.752932643
910	1.752868377
911	1.752864882
912	1.7528523
913	1.752586562
914	1.750433912
915	1.75039319
916	1.750334781
917	1.750306287
918	1.750116778
919	1.750081273
920	1.749501216
921	1.749474226
922	1.748247661
923	1.748221212
924	1.748198664
925	1.748167511
926	1.747881452
927	1.747280994
928	1.747029321
929	1.747016808
930	1.746632631
931	1.746329188
932	1.746236564
933	1.745369079
934	1.745343507
935	1.745327652
936	1.745080063
937	1.74498181
938	1.744946904
939	1.744919667
940	1.74489514
941	1.744871406
942	1.744731321
943	1.74469832
944	1.744456342
945	1.743992336
946	1.743984249
947	1.743868134
948	1.743581218
949	1.743578083
950	1.743438396
951	1.743433149
952	1.743299757
953	1.743252543
954	1.7429884
955	1.742926967
956	1.742923896
957	1.742902821
958	1.742881691
959	1.742855706
960	1.742609295
961	1.742504821
962	1.741576344
963	1.741187123
964	1.741126977
965	1.741101755
966	1.741098929
967	1.74109238
968	1.741023426
969	1.741005367
970	1.740938135
971	1.740903418
972	1.740878898
973	1.740627097
974	1.740308604
975	1.740153802
976	1.740130701
977	1.739895979
978	1.739229213
979	1.738717472
980	1.738695657
981	1.738426544
982	1.737509164
983	1.736983641
984	1.73696523
985	1.736841579
986	1.73571189
987	1.735038261
988	1.735033702
989	1.734968854
990	1.734842956
991	1.734759757
992	1.734582886
993	1.734561038
994	1.734347469
995	1.733393812
996	1.73336467
997	1.733318357
998	1.733303706
999	1.733275725
